,Datetime,P,I,T,T_NCEP,H_NCEP,W_NCEP,I_NCEP
77,11/1/2022 12:00,2032,807.52765,42.5,30.77,31.62,3.08,824.9484
78,11/1/2022 13:00,1936,775.802775,42,32.05,27.98,3.62,841.9053
79,11/1/2022 14:00,1604,628.46015,40.75,32.08,27.55,3.68,794.7402
80,11/1/2022 15:00,1176,461.04665,41.25,32.1,27.12,3.75,687.2208
81,11/1/2022 16:00,552,234.869325,40.75,32.12,26.69,3.81,498.0129
82,11/1/2022 17:00,96,48.4775635,40.5,30.18,30.48,3.7,289.7461
83,12/1/2022 7:00,295.2,46.899405,29.75,18.68,75.87,2.81,4.9348
84,12/1/2022 8:00,845.6,219.92141,31.5,20.96,67.47,3.02,130.666
85,12/1/2022 9:00,1464,542.438775,33.75,23.23,59.06,3.24,364.7466
86,12/1/2022 10:00,1840,702.673675,36.25,25.51,50.66,3.46,556.1442
87,12/1/2022 11:00,2040,799.426475,37.75,26.99,46.6,3.17,715.7202
88,12/1/2022 12:00,2084,822.1276,39,28.46,42.54,2.96,828.4143
89,12/1/2022 13:00,1852,709.269525,39.25,29.94,38.49,2.83,843.3213
90,12/1/2022 14:00,1260,468.403275,39.75,30.28,36.45,2.65,794.1333
91,12/1/2022 15:00,1072,402.76835,39,30.61,34.41,2.47,685.2612
92,12/1/2022 16:00,524,218.116625,39,30.95,32.37,2.31,497.1549
93,12/1/2022 17:00,108,50.52511925,38.75,29.16,36.54,2.37,290.4826
94,13/1/2022 7:00,291.2,45.59642,29.25,20.3,70.4,2.35,4.5683
95,13/1/2022 8:00,921.2,245.56836,32.75,22.73,62.76,2.21,132.3451
96,13/1/2022 9:00,1464,553.8581,35.25,25.16,55.12,2.48,365.5866
97,13/1/2022 10:00,1824,702.956925,38,27.59,47.47,3.07,556.9572
98,13/1/2022 11:00,2044,805.90095,39.25,28.69,42.85,3.2,716.4498
99,13/1/2022 12:00,2076,824.377425,40.75,29.8,38.23,3.33,829.0296
100,13/1/2022 13:00,1900,765.443625,40.75,30.9,33.61,3.47,844.728
101,13/1/2022 14:00,1672,651.47685,40.25,30.99,32.65,3.22,796.2681
102,13/1/2022 15:00,1200,470.321325,40,31.07,31.7,2.97,687.8844
103,13/1/2022 16:00,584,246.474775,40,31.15,30.74,2.72,499.7874
104,13/1/2022 17:00,112,55.68040175,39.5,29.33,34.95,2.83,292.6621
105,14/1/2022 7:00,292.4,46.4947525,29.5,18.86,73.94,2.62,4.5371
106,14/1/2022 8:00,906.4,247.9800875,32,20.88,67.98,2.98,128.0431
107,14/1/2022 9:00,1468,550.20005,33,22.89,62.01,3.34,360.795
108,14/1/2022 10:00,1864,713.477925,35.75,24.9,56.04,3.7,551.9424
109,14/1/2022 11:00,2060,803.31115,37.5,26.38,50.66,3.61,711.9156
110,14/1/2022 12:00,2096,824.8954,38.75,27.87,45.28,3.52,825.591
111,14/1/2022 13:00,1980,778.7891,39.25,29.35,39.91,3.43,842.1258
112,14/1/2022 14:00,1696,666.57045,39,29.63,38.32,3.08,794.7567
113,14/1/2022 15:00,1196,466.112925,39,29.9,36.73,2.72,687.6657
114,14/1/2022 16:00,616,257.926475,38.5,30.17,35.14,2.38,499.845
115,14/1/2022 17:00,112,54.40979025,38.5,28.51,39.58,2.21,293.6933
116,15/1/2022 7:00,288,46.0496325,29.25,19.57,68.66,1.86,4.3118
117,15/1/2022 8:00,904,253.1030225,31.75,22.09,60.82,2.07,131.8818
118,15/1/2022 9:00,1436,547.326975,34.5,24.6,52.99,2.45,365.1225
119,15/1/2022 10:00,1824,715.3879,38,27.11,45.15,2.92,557.535
120,15/1/2022 11:00,2024,802.1862,40,28.2,41.3,2.85,718.1679
121,15/1/2022 12:00,2080,830.90045,41,29.29,37.46,2.79,831.9315
122,15/1/2022 13:00,1928,768.3733,41,30.38,33.61,2.74,849.5193
123,15/1/2022 14:00,1644,647.430325,40.25,30.65,32.04,2.46,802.6893
124,15/1/2022 15:00,1184,465.0851,40.25,30.91,30.48,2.2,695.4441
125,15/1/2022 16:00,588,248.16625,40,31.18,28.91,1.98,507.0978
126,15/1/2022 17:00,112,54.20747,40,29.41,32.66,1.89,299.1938
127,16/1/2022 7:00,284,48.2509475,29.25,20,62.57,1.31,4.378
128,16/1/2022 8:00,892,259.731255,32,22.44,55.72,1.44,132.1018
129,16/1/2022 9:00,1412,536.75745,34.75,24.89,48.86,2.28,366.9285
130,16/1/2022 10:00,1764,684.4157,36.5,27.34,42.01,3.33,559.7127
131,16/1/2022 11:00,1920,777.728975,38.75,28.42,39.92,3.02,720.5526
132,16/1/2022 12:00,1456,594.25875,39.75,29.51,37.83,2.71,834.3669
133,16/1/2022 13:00,1748,691.47285,40,30.59,35.75,2.41,850.9191
134,16/1/2022 14:00,1420,522.1575,39.5,30.84,34.55,2.21,803.0427
135,16/1/2022 15:00,1008,404.30605,39.25,31.1,33.35,2.02,694.9788
136,16/1/2022 16:00,416,181.543975,39.25,31.35,32.16,1.84,507.2004
137,16/1/2022 17:00,116,53.77852,39,29.74,36.12,1.99,299.722
138,17/1/2022 7:00,266,54.595925,30,20.86,66.74,1.3,4.376
139,17/1/2022 8:00,840.4,256.36452,32.25,23.02,60.04,1.85,127.725
140,17/1/2022 9:00,1380,524.94155,34.75,25.17,53.34,2.56,361.002
141,17/1/2022 10:00,1772,688.308475,36.25,27.32,46.63,3.33,552.8022
142,17/1/2022 11:00,2000,791.333375,39,28.35,43.79,3.27,713.4084
143,17/1/2022 12:00,1876,744.021225,40,29.38,40.95,3.2,827.736
144,17/1/2022 13:00,1916,746.287275,40,30.41,38.1,3.14,845.6589
145,17/1/2022 14:00,1260,498.85755,40.25,30.59,36.57,2.96,799.6011
146,17/1/2022 15:00,1072,421.244875,40,30.76,35.04,2.8,693.6042
147,17/1/2022 16:00,612,259.85265,40,30.94,33.51,2.65,507.1032
148,17/1/2022 17:00,116,59.64601625,39.75,29.27,37.64,2.7,301.1322
