,Datetime,P,I,T,T_NCEP,H_NCEP,W_NCEP,I_NCEP
335,4/2/2022 10:00,1052,393.615125,34.75,25.98,55.91,4.92,511.779
336,4/2/2022 11:00,1244,501.924775,35,27.24,51.87,4.91,698.3991
337,4/2/2022 12:00,1540,643.440425,36.5,28.49,47.82,4.93,852.5676
338,4/2/2022 13:00,1488,569.129725,36.5,29.74,43.78,4.97,876.5658
339,4/2/2022 14:00,1456,615.017525,37.5,29.98,42.85,4.93,835.848
340,4/2/2022 15:00,468,186.49695,38,30.22,41.92,4.89,733.8246
341,4/2/2022 16:00,228,89.5661225,36.75,30.46,41,4.85,546.8982
342,4/2/2022 17:00,88,37.3576625,36,29.34,43.94,4.51,338.5146
343,5/2/2022 7:00,164,62.8185,30,18.87,68.4,3.9,5.0281
344,5/2/2022 8:00,492,182.515175,30,20.31,64.51,4.11,135.4731
345,5/2/2022 9:00,984,379.217525,30.5,21.75,60.63,4.32,365.5698
346,5/2/2022 10:00,1712,682.7971,32.25,23.2,56.75,4.53,560.7282
347,5/2/2022 11:00,1908,768.850825,33.75,24.9,53.34,4.39,727.1553
348,5/2/2022 12:00,2024,822.2975,35.25,26.61,49.92,4.25,849.0795
349,5/2/2022 13:00,1924,784.025325,36,28.32,46.51,4.11,873.9078
350,5/2/2022 14:00,1652,676.881025,36.5,28.89,45.27,3.94,834.3123
351,5/2/2022 15:00,1188,490.262675,37,29.46,44.03,3.77,733.4769
352,5/2/2022 16:00,700,310.280625,36.75,30.03,42.79,3.6,529.9791
353,5/2/2022 17:00,160,90.09217,36.75,28.89,46.54,3.28,316.5675
354,6/2/2022 7:00,172,63.37692,30,19.49,68.4,2.59,5.0065
355,6/2/2022 8:00,384,144.332,30.25,20.9,63.84,2.96,126.1155
356,6/2/2022 9:00,720,275.197125,30.25,22.3,59.29,3.34,331.8435
357,6/2/2022 10:00,992,384.826025,32,23.71,54.73,3.72,529.0671
358,6/2/2022 11:00,1936,765.88065,33.75,25.39,50.87,3.54,710.2374
359,6/2/2022 12:00,2016,827.808925,35.75,27.06,47.01,3.36,855.3666
360,6/2/2022 13:00,1860,773.58525,36.75,28.74,43.15,3.17,880.4937
361,6/2/2022 14:00,1540,624.089875,37.75,29.3,42.07,2.63,840.8178
362,6/2/2022 15:00,1136,476.488275,37.75,29.87,40.99,2.08,739.5054
363,6/2/2022 16:00,616,269.5158,38,30.43,39.91,1.53,547.4706
364,6/2/2022 17:00,152,77.9768375,38,29.42,42.62,1.76,336.7575
365,7/2/2022 7:00,289.2,73.1452825,31.25,22.76,66.82,0.77,5.6202
366,7/2/2022 8:00,770,264.58709,33.5,24.71,60.33,1.34,140.5409
367,7/2/2022 9:00,1264,516.346675,36.5,26.66,53.84,2.02,374.7789
368,7/2/2022 10:00,1680,691.569975,38.25,28.61,47.34,2.73,574.2186
369,7/2/2022 11:00,1952,814.552425,41,29.8,44.3,2.23,744.7167
370,7/2/2022 12:00,1992,843.517575,42,30.99,41.25,1.75,870.0396
371,7/2/2022 13:00,1380,571.0721,42.25,32.18,38.21,1.33,861.7557
372,7/2/2022 14:00,1608,664.328675,41.75,32.29,37.14,1.16,790.4844
373,7/2/2022 15:00,1176,501.42305,42,32.4,36.07,1.27,666.6063
374,7/2/2022 16:00,528,233.51775,41.75,32.51,35,1.61,420.0729
375,7/2/2022 17:00,152,72.50591,40.75,31.52,37.6,1.29,206.4763
376,8/2/2022 7:00,262.4,57.792695,33,24.42,58.54,1.49,5.9733
377,8/2/2022 8:00,766.8,255.0291825,35.25,26.57,52.48,0.94,144.9468
378,8/2/2022 9:00,1288,534.2162,38,28.71,46.42,0.46,385.8624
379,8/2/2022 10:00,1680,701.718725,40.5,30.86,40.36,0.47,587.6445
380,8/2/2022 11:00,1872,795.679375,42.75,32.07,36.97,0.43,758.3469
381,8/2/2022 12:00,1460,605.896625,43.5,33.28,33.59,0.47,882.1143
382,8/2/2022 13:00,1772,720.939775,43.5,34.48,30.2,0.59,904.4496
383,8/2/2022 14:00,1296,541.710375,43.5,34.51,28.97,0.56,860.4762
384,8/2/2022 15:00,1076,452.322325,43.5,34.54,27.75,0.56,754.185
385,8/2/2022 16:00,620,274.347325,43,34.57,26.52,0.59,555.0534
386,8/2/2022 17:00,140,70.1993925,43,33.43,29.75,1.31,339.5517
387,9/2/2022 7:00,256,59.1442375,33,25.55,59.07,1.38,6.2551
388,9/2/2022 8:00,712.8,240.8501,35.5,27.49,52.36,1.53,146.3246
389,9/2/2022 9:00,1204,497.360275,38.75,29.43,45.64,2.39,387.1377
390,9/2/2022 10:00,1416,588.399375,39.5,31.36,38.93,3.47,588.6927
391,9/2/2022 11:00,1760,738.93065,41.25,32.25,36.46,3.22,759.0657
392,9/2/2022 12:00,1812,764.10015,43,33.15,33.98,2.99,882.4695
393,9/2/2022 13:00,1224,538.48935,43.5,34.04,31.51,2.77,903.2898
394,9/2/2022 14:00,1468,618.3195,43.5,34.23,30.34,2.57,858.0144
395,9/2/2022 15:00,784,325.50375,43.25,34.42,29.18,2.38,750.939
396,9/2/2022 16:00,552,246.25625,43,34.62,28.01,2.22,531.1674
397,9/2/2022 17:00,80,37.55999075,42.5,33.32,32.16,2.01,309.7617
398,10/2/2022 7:00,79.2,29.8553775,35,24.84,60.95,2.38,6.3907
399,10/2/2022 8:00,329.6,116.4027725,34.75,26.56,55.54,2.91,145.6067
400,10/2/2022 9:00,664,227.480325,36,28.28,50.13,3.44,385.2645
401,10/2/2022 10:00,1320,492.464,36.75,30.01,44.72,3.97,585.5121
402,10/2/2022 11:00,1804,700.97415,39,31.12,41.45,3.74,754.9962
403,10/2/2022 12:00,1464,559.159075,40.25,32.23,38.18,3.52,877.9722
404,10/2/2022 13:00,1492,605.249175,41.25,33.35,34.91,3.32,898.2072
405,10/2/2022 14:00,1316,540.01085,41.75,33.66,33.52,2.96,852.8352
406,10/2/2022 15:00,888,339.027225,42,33.98,32.13,2.65,746.2137
407,10/2/2022 16:00,348,141.855505,41.75,34.29,30.74,2.42,527.2524
408,10/2/2022 17:00,36,15.54680875,40.75,33.13,34.78,1.4,307.2408
409,11/2/2022 7:00,159.6,47.8139225,34.75,24.74,73.03,0.53,6.0648
410,11/2/2022 8:00,618.4,198.90365,35.75,26.52,65.8,1.29,130.6737
411,11/2/2022 9:00,828,297.129375,37,28.3,58.57,2.16,339.2352
412,11/2/2022 10:00,1544,602.8941,38.5,30.08,51.35,3.06,523.2756
413,11/2/2022 11:00,1512,584.2557,41,31.1,47.81,2.78,684.2751
414,11/2/2022 12:00,1236,470.725975,41.5,32.11,44.28,2.5,806.1459
415,11/2/2022 13:00,1492,578.396325,42,33.13,40.75,2.22,676.1361
416,11/2/2022 14:00,1192,457.089125,41.75,32.59,42.09,2.05,498.2766
417,11/2/2022 15:00,796,303.029225,42.25,32.05,43.44,1.89,307.8402
418,11/2/2022 16:00,200,78.106315,41.75,31.51,44.79,1.73,238.7384
419,11/2/2022 17:00,8,4.35407725,37.75,29.71,53.42,0.82,155.0973
420,12/2/2022 7:00,232,81.5054275,34.25,24.44,75.16,1.1,5.9395
421,12/2/2022 8:00,652,225.521825,35.25,26,68.18,1.42,119.1546
422,12/2/2022 9:00,1508,570.3275,36.75,27.55,61.2,1.75,300.0147
423,12/2/2022 10:00,1684,665.275575,39.5,29.1,54.22,2.1,446.7843
424,12/2/2022 11:00,1600,626.7201,41,30.42,49.74,1.78,565.9104
425,12/2/2022 12:00,1028,401.643425,41.25,31.73,45.26,1.48,647.4435
426,12/2/2022 13:00,864,311.22755,41,33.05,40.78,1.19,693.4014
427,12/2/2022 14:00,428,150.3937,41,33.02,40.24,0.78,688.5846
428,12/2/2022 15:00,388,132.93695,40.75,33,39.71,0.43,629.655
429,12/2/2022 16:00,228,76.050685,39.5,32.97,39.17,0.39,402.3759
430,12/2/2022 17:00,80,31.166455,38.25,31.74,43.63,0.67,202.8673
431,13/2/2022 7:00,248,73.501365,33.75,25.37,69.91,1.59,7.1241
432,13/2/2022 8:00,736,245.333675,35.5,26.79,64.56,1.68,146.559
433,13/2/2022 9:00,1156,429.847825,37,28.22,59.21,1.99,381.6555
434,13/2/2022 10:00,1740,682.764725,39,29.64,53.86,2.42,561.2706
435,13/2/2022 11:00,1932,793.923175,41.25,30.82,49.41,2.15,702.7956
436,13/2/2022 12:00,1656,611.36755,42,32,44.97,1.97,795.3771
437,13/2/2022 13:00,1428,605.516225,42.5,33.19,40.52,1.9,622.3143
438,13/2/2022 14:00,1664,672.211325,42.25,32.55,42.31,1.38,405.8964
439,13/2/2022 15:00,1120,454.1109,42.25,31.92,44.1,0.86,190.1811
440,13/2/2022 16:00,604,234.35135,41.75,31.28,45.89,0.36,119.083
441,13/2/2022 17:00,100,42.90142125,41.25,30.56,49.18,0.67,58.0276
442,14/2/2022 7:00,235.2,81.205985,34,23.29,84.2,4.27,6.1224
443,14/2/2022 8:00,467.2,163.3831125,34.75,24.26,79.41,4.39,109.7028
444,14/2/2022 9:00,604,227.253725,35.75,25.22,74.63,4.51,264.1796
445,14/2/2022 10:00,548,192.162125,36.25,26.19,69.84,4.63,356.2281
446,14/2/2022 11:00,1792,692.387375,37.25,27.44,63.93,4.53,406.9749
447,14/2/2022 12:00,1120,432.178625,39,28.69,58.01,4.43,417.5904
448,14/2/2022 13:00,1436,543.223825,39,29.95,52.1,4.33,452.859
449,14/2/2022 14:00,1304,515.6021,39.25,30.07,50.62,4.36,455.0307
450,14/2/2022 15:00,1216,470.8959,39,30.19,49.15,4.4,420.771
451,14/2/2022 16:00,592,234.723625,38.5,30.31,47.67,4.45,304.7748
452,14/2/2022 17:00,216,91.4599,37.75,29.62,49.9,4.63,183.66
453,15/2/2022 7:00,37.6,14.891269,32,21.03,74.55,2.99,7.6774
454,15/2/2022 8:00,522.4,179.1808175,32,22.53,70.49,3.3,147.6115
455,15/2/2022 9:00,668,241.03625,32.75,24.04,66.44,3.69,379.9293
456,15/2/2022 10:00,832,296.9999,33,25.54,62.39,4.13,556.6632
457,15/2/2022 11:00,1488,561.16615,34.25,26.7,59.5,4.05,695.3829
458,15/2/2022 12:00,1484,578.2102,35.25,27.86,56.61,3.99,785.5782
459,15/2/2022 13:00,1652,615.818725,36.25,29.03,53.72,3.98,665.4324
460,15/2/2022 14:00,1064,443.26615,37.5,28.96,53.05,3.85,498.4464
461,15/2/2022 15:00,468,170.6993,38,28.89,52.39,3.72,317.343
462,15/2/2022 16:00,340,127.967825,38,28.82,51.73,3.59,222.0797
463,15/2/2022 17:00,84,33.5458225,37.75,28.08,54.27,3.48,128.1899
464,16/2/2022 7:00,108,40.5301525,34,23.43,81.32,2.53,2.8904
465,16/2/2022 8:00,220,79.3607525,34,23.94,78.46,2.84,45.2434
466,16/2/2022 9:00,372,123.087665,34,24.46,75.6,3.14,101.775
467,16/2/2022 10:00,740,270.001375,35,24.97,72.74,3.45,218.0605
468,16/2/2022 11:00,932,329.040375,36,26.1,68.78,3.38,356.6673
469,16/2/2022 12:00,784,293.2123575,37.25,27.22,64.82,3.35,496.0968
470,16/2/2022 13:00,636,220.4069425,36.75,28.35,60.85,3.37,474.6027
471,16/2/2022 14:00,596,216.554675,36.25,28.04,62.46,3.14,419.1249
472,16/2/2022 15:00,456,163.3831,37,27.73,64.07,2.91,338.9346
473,16/2/2022 16:00,420,160.6234,37,27.42,65.69,2.68,191.8341
474,16/2/2022 17:00,112,45.952515,37,26.42,70.28,2.81,76.1931
475,17/2/2022 7:00,60,23.259515,33,22.36,91.84,1.81,7.3643
476,17/2/2022 8:00,439.2,153.817075,33.25,23.63,85.63,2.13,124.4901
477,17/2/2022 9:00,732,262.458625,34,24.9,79.43,2.47,303.4572
478,17/2/2022 10:00,692,259.73935,35.25,26.18,73.22,2.83,408.9729
479,17/2/2022 11:00,812,300.358525,35.5,26.98,69.38,2.42,468.1239
480,17/2/2022 12:00,1020,372.5164,37.25,27.79,65.54,2.04,481.9197
481,17/2/2022 13:00,1108,419.561525,38.75,28.6,61.69,1.69,516.6045
482,17/2/2022 14:00,1004,379.096125,39,28.66,61.46,1.21,513.7899
483,17/2/2022 15:00,944,369.044525,39.5,28.72,61.23,0.73,470.8836
484,17/2/2022 16:00,480,176.866175,39.25,28.78,61,0.25,402.0798
485,17/2/2022 17:00,100,42.7800275,39,28,65.48,0.41,287.8212
486,18/2/2022 7:00,169.2,61.5721525,34,23.99,83.16,0.9,8.914
487,18/2/2022 8:00,745.6,285.103075,35.25,25.53,75.4,0.97,155.1329
488,18/2/2022 9:00,1340,532.613775,37,27.06,67.65,1.26,392.0058
489,18/2/2022 10:00,1604,656.9316,40,28.6,59.9,1.66,592.5159
490,18/2/2022 11:00,1952,807.5358,41.75,29.78,55.23,1.96,763.6431
491,18/2/2022 12:00,1900,856.49905,43.25,30.95,50.56,2.27,889.2477
492,18/2/2022 13:00,1500,634.473325,44,32.13,45.88,2.58,861.0378
493,18/2/2022 14:00,1224,458.205975,43.25,32.19,45.55,3.01,771.2883
494,18/2/2022 15:00,1444,559.223825,42.75,32.26,45.21,3.49,634.3896
495,18/2/2022 16:00,824,344.5144,42.5,32.32,44.88,4,436.8048
496,18/2/2022 17:00,144,69.430545,41.5,31.45,48.54,3.41,247.1098
497,19/2/2022 7:00,308,97.8372525,35.5,24.91,76.23,2.05,9.3958
498,19/2/2022 8:00,860,331.7273,38.75,26.6,68.67,2.78,158.0833
499,19/2/2022 9:00,1600,613.3099,40.75,28.28,61.11,3.52,396.6462
500,19/2/2022 10:00,1460,539.622375,42.75,29.96,53.54,4.27,539.2293
501,19/2/2022 11:00,2140,899.13335,44,29.75,54.39,4.47,624.4023
502,19/2/2022 12:00,2220,943.790675,45.75,29.54,55.23,4.68,651.8955
503,19/2/2022 13:00,1192,471.737625,45,29.32,56.07,4.89,675.6576
504,19/2/2022 14:00,1408,563.577875,45,30.6,51.52,4.52,650.7645
505,19/2/2022 15:00,1188,476.374925,44.5,31.87,46.97,4.2,578.5128
506,19/2/2022 16:00,352,152.578855,43.5,33.15,42.43,3.93,367.0767
507,19/2/2022 17:00,220,103.5509675,42,32.21,45.66,4,183.4085
508,20/2/2022 7:00,356,87.979895,35.5,24.75,77.97,2.08,9.9249
509,20/2/2022 8:00,1000,327.0090475,39.25,26.88,67.52,2.74,162.2364
510,20/2/2022 9:00,1576,613.212775,41.75,29.01,57.08,3.45,405.4014
511,20/2/2022 10:00,1944,788.5089,44,31.14,46.63,4.19,603.4887
512,20/2/2022 11:00,2056,825.8423,45.25,32.18,44.17,4.6,767.7537
513,20/2/2022 12:00,1308,470.855425,45.25,33.22,41.72,5.03,883.7373
514,20/2/2022 13:00,1912,746.853825,45.5,34.25,39.26,5.45,685.4415
515,20/2/2022 14:00,1284,503.18735,45.75,33.4,41.76,5.35,440.0619
516,20/2/2022 15:00,1300,513.085175,44.25,32.55,44.26,5.25,197.1049
517,20/2/2022 16:00,160,67.415355,42.75,31.7,46.76,5.16,240.8966
518,20/2/2022 17:00,96,38.1346025,38.25,30.69,50.7,4.97,218.599
519,21/2/2022 7:00,38.4,14.37331075,28,17.76,74.11,4.96,4.1876
520,21/2/2022 8:00,232,80.4533175,27.5,18.42,71.88,5.02,81.4219
521,21/2/2022 9:00,216,72.6030325,27.75,19.08,69.65,5.09,226.9016
522,21/2/2022 10:00,348,114.322865,27.5,19.73,67.42,5.17,428.5974
523,21/2/2022 11:00,772,265.242625,28,21.05,64.51,5,653.733
524,21/2/2022 12:00,912,309.36615,29,22.36,61.61,4.83,869.8914
525,21/2/2022 13:00,980,349.36215,29.25,23.68,58.7,4.66,896.3265
526,21/2/2022 14:00,972,344.52245,30.25,24.04,57.9,4.76,858.4998
527,21/2/2022 15:00,712,248.910825,30,24.4,57.09,4.87,759.204
528,21/2/2022 16:00,272,100.2004425,30.5,24.77,56.29,4.97,567.6243
529,21/2/2022 17:00,72,27.3788945,30.5,23.52,60.21,5.22,356.7777
530,22/2/2022 7:00,381.2,113.2626375,28.25,16.81,75.25,4.17,10.8846
531,22/2/2022 8:00,1096.4,368.785525,29,18.42,70.08,4.42,166.5911
532,22/2/2022 9:00,1708,633.1946,31.25,20.02,64.91,4.68,410.3607
533,22/2/2022 10:00,2096,810.594925,32.75,21.62,59.74,4.95,616.7412
534,22/2/2022 11:00,2372,916.711375,34,23.29,55.38,4.88,792.5004
535,22/2/2022 12:00,2408,945.1748,35,24.96,51.02,4.82,921.1776
536,22/2/2022 13:00,2284,895.523725,35.5,26.63,46.66,4.78,945.4686
537,22/2/2022 14:00,1972,766.859925,36,27.12,45.28,4.71,902.1339
538,22/2/2022 15:00,1416,545.71645,36,27.6,43.9,4.65,794.8776
539,22/2/2022 16:00,852,338.4041,36.25,28.09,42.52,4.61,600.0435
540,22/2/2022 17:00,232,109.73409,36.25,27.01,45.81,4.01,381.5604
541,23/2/2022 7:00,391.2,127.9111425,29,18.03,70.1,5.3,6.5883
542,23/2/2022 8:00,1112,397.524075,29.5,18.48,67.75,5.5,76.3361
543,23/2/2022 9:00,1728,639.41815,31.25,18.93,65.4,5.71,151.7511
544,23/2/2022 10:00,2168,812.253975,32.75,19.38,63.06,5.93,273.6273
545,23/2/2022 11:00,2376,926.997675,34.25,21.85,56.25,6.06,405.3588
546,23/2/2022 12:00,2412,950.1439,35.25,24.31,49.44,6.22,528.7113
547,23/2/2022 13:00,2292,897.231375,36.5,26.78,42.63,6.39,676.8201
548,23/2/2022 14:00,2000,770.54225,37,27.26,41.12,6.34,775.3296
549,23/2/2022 15:00,1520,581.78735,37,27.73,39.62,6.28,798.7068
550,23/2/2022 16:00,896,356.95345,37,28.21,38.12,6.23,604.2279
551,23/2/2022 17:00,240,118.38558,36.5,27.03,41.08,5.76,385.4124
552,24/2/2022 7:00,401.6,143.304195,27.25,16.51,66.63,4.31,12.5722
553,24/2/2022 8:00,1133.6,416.259525,28.25,18.2,61.22,5.09,178.386
554,24/2/2022 9:00,1764,646.8962,29.25,19.89,55.8,5.88,429.7476
555,24/2/2022 10:00,2192,828.504925,31.25,21.58,50.39,6.68,638.8239
556,24/2/2022 11:00,2416,932.501,33.25,23.2,46.76,6.74,813.5019
557,24/2/2022 12:00,2452,957.443875,34.75,24.82,43.13,6.8,938.1513
558,24/2/2022 13:00,2332,908.6588,35.5,26.44,39.5,6.88,962.6478
559,24/2/2022 14:00,2020,778.238775,36.25,26.85,38.16,6.73,918.5445
560,24/2/2022 15:00,1532,587.314875,36.5,27.27,36.82,6.58,809.6259
561,24/2/2022 16:00,896,356.0551,37,27.68,35.48,6.44,613.0101
562,24/2/2022 17:00,236,116.83172,36.5,26.54,37.74,5.77,391.6566
563,25/2/2022 7:00,406.8,156.56066,27.75,17.03,66.56,3.22,12.7121
564,25/2/2022 8:00,1125.6,418.711725,29.25,18.88,59.07,4.1,175.2179
565,25/2/2022 9:00,1748,647.883525,31.5,20.73,51.57,4.99,410.4576
566,25/2/2022 10:00,2160,828.34305,33,22.59,44.08,5.88,615.4116
567,25/2/2022 11:00,2248,861.44375,34.25,24.27,40.12,5.9,791.3043
568,25/2/2022 12:00,2416,932.8895,35.5,25.95,36.16,5.93,921.3018
569,25/2/2022 13:00,2332,909.6704,36.75,27.63,32.2,5.98,948.999
570,25/2/2022 14:00,1684,658.323575,37,28.01,31.34,5.83,909.1491
571,25/2/2022 15:00,1572,605.475775,37.5,28.38,30.48,5.69,804.5382
572,25/2/2022 16:00,920,367.943825,38,28.76,29.62,5.55,599.127
573,25/2/2022 17:00,240,117.9809375,38,27.45,32.33,4.77,375.3114
574,26/2/2022 7:00,400,164.281455,30,18.69,63.05,2.49,12.9706
575,26/2/2022 8:00,968,356.36265,30.75,20.63,55.48,3.33,168.9954
576,26/2/2022 9:00,1876,702.430875,31.75,22.56,47.91,4.23,408.3207
577,26/2/2022 10:00,2060,782.4148,34.5,24.5,40.35,5.15,615.6057
578,26/2/2022 11:00,2296,898.671925,36,26.14,35.67,5.21,795.9366
579,26/2/2022 12:00,2340,921.793875,37.75,27.79,30.99,5.31,931.5561
580,26/2/2022 13:00,2212,870.985525,38.75,29.43,26.31,5.44,957.0945
581,26/2/2022 14:00,1940,758.030375,39,29.87,24.86,5.35,914.6643
582,26/2/2022 15:00,1488,577.7246,40,30.31,23.41,5.26,807.5709
583,26/2/2022 16:00,816,329.315575,40.5,30.75,21.96,5.19,613.0065
584,26/2/2022 17:00,224,113.999155,40,29.15,25.39,4.51,392.7024
585,27/2/2022 7:00,412,170.87733,30,18.85,74.46,3.09,14.6238
586,27/2/2022 8:00,1100,411.9783,31.5,20.89,66.66,3.65,181.1141
587,27/2/2022 9:00,1708,643.91795,33.5,22.94,58.86,4.24,428.4303
588,27/2/2022 10:00,2128,825.575225,35.25,24.98,51.06,4.86,634.9701
589,27/2/2022 11:00,2020,781.4922,37,26.91,44.61,4.8,808.7082
590,27/2/2022 12:00,2272,941.670425,37.25,28.83,38.17,4.76,933.7677
591,27/2/2022 13:00,2148,853.75535,38.75,30.75,31.73,4.74,948.7578
592,27/2/2022 14:00,1920,780.94995,39.25,31.11,31,4.53,896.6202
593,27/2/2022 15:00,1232,483.01125,40,31.47,30.27,4.32,782.8194
594,27/2/2022 16:00,872,352.64795,40.25,31.82,29.54,4.11,588.0585
595,27/2/2022 17:00,232,113.2383875,40,30.48,32.4,3.7,372.5871
596,28/2/2022 7:00,373.2,152.5950375,32,22.54,55.5,2.21,15.2408
597,28/2/2022 8:00,1004,379.8488,34.5,24.63,51.52,2.53,183.8773
598,28/2/2022 9:00,1560,599.54355,38,26.73,47.53,2.86,432.7998
599,28/2/2022 10:00,1956,776.264075,41,28.83,43.54,3.21,638.6373
600,28/2/2022 11:00,2164,876.666875,42.75,30.19,40.94,2.93,810.516
601,28/2/2022 12:00,2232,910.228875,42.25,31.55,38.33,2.66,933.006
602,28/2/2022 13:00,1892,759.2443,43.5,32.9,35.72,2.39,955.356
603,28/2/2022 14:00,1260,502.556075,43.5,33.27,33.87,2.25,910.1493
604,28/2/2022 15:00,896,336.38895,42.25,33.63,32.02,2.14,801.3204
605,28/2/2022 16:00,816,323.9984,42,33.99,30.17,2.07,606.6294
606,28/2/2022 17:00,220,104.46548,41.75,32.64,33.02,2.18,387.99
607,1/3/2022 7:00,381.2,155.330505,32.75,24.62,59.59,1.06,16.1398
608,1/3/2022 8:00,984,376.805775,36,26.85,51.66,1.4,189.3831
609,1/3/2022 9:00,1504,583.543525,38.75,29.08,43.73,2.08,442.9407
610,1/3/2022 10:00,1904,756.088,41.25,31.31,35.8,2.86,652.5618
611,1/3/2022 11:00,2108,850.55855,42.5,32.5,30.88,2.67,827.4159
612,1/3/2022 12:00,2200,903.722025,43.25,33.69,25.95,2.49,951.8517
613,1/3/2022 13:00,2000,824.701175,44.5,34.88,21.02,2.32,975.7428
614,1/3/2022 14:00,1304,524.609725,43.75,34.94,20.42,2.39,930.7503
615,1/3/2022 15:00,1296,506.1251,43.25,35.01,19.82,2.46,820.6479
616,1/3/2022 16:00,684,286.26845,43.75,35.07,19.22,2.54,622.3998
617,1/3/2022 17:00,196,86.336975,43,33.63,22.38,2.33,399.1668
618,2/3/2022 7:00,339.2,135.3567525,34,24.66,50.5,2.49,16.9116
619,2/3/2022 8:00,910,347.3874,35.5,26.69,46.31,2.98,191.4903
620,2/3/2022 9:00,1480,567.8996,37.5,28.72,42.12,3.51,442.4982
621,2/3/2022 10:00,1880,740.5574,39.25,30.75,37.93,4.07,649.6356
622,2/3/2022 11:00,2108,851.50545,40.75,31.77,35.87,3.77,821.4711
623,2/3/2022 12:00,2168,894.253075,42,32.79,33.81,3.48,942.8334
624,2/3/2022 13:00,2012,823.916125,43,33.81,31.75,3.19,964.7481
625,2/3/2022 14:00,1628,656.883025,43,34,31,2.94,918.7026
626,2/3/2022 15:00,1296,518.7099,43,34.19,30.25,2.77,808.7718
627,2/3/2022 16:00,712,290.5902,42.75,34.39,29.5,2.67,612.4008
628,2/3/2022 17:00,212,91.23331,42.25,33.21,32.19,2.78,392.3097
629,3/3/2022 7:00,342.8,137.315325,34.25,25.29,56.37,1.86,17.3574
630,3/3/2022 8:00,977.2,375.90745,35.75,27.17,51.52,2.33,194.0167
631,3/3/2022 9:00,1524,587.60625,37.75,29.05,46.67,2.85,440.6538
632,3/3/2022 10:00,1904,757.78755,40.25,30.92,41.82,3.4,645.6744
633,3/3/2022 11:00,2104,857.130125,43,32.11,39.36,2.86,816.3897
634,3/3/2022 12:00,2160,892.731625,44,33.29,36.9,2.4,937.4985
635,3/3/2022 13:00,1680,706.145625,44,34.48,34.44,2.08,958.1424
636,3/3/2022 14:00,1728,676.856775,43.75,34.63,33.26,2.21,911.4315
637,3/3/2022 15:00,1204,471.422,43.75,34.78,32.07,2.44,801.4683
638,3/3/2022 16:00,756,314.2948,43.25,34.93,30.89,2.75,596.5749
639,3/3/2022 17:00,208,100.143785,43,33.86,33.19,2.41,374.4873
640,4/3/2022 7:00,352.4,137.01585,34,26.16,56.45,1.44,18.7913
641,4/3/2022 8:00,938,364.156275,37.25,28.46,50.01,0.69,194.2856
642,4/3/2022 9:00,1480,579.755925,41,30.75,43.57,0.38,444.642
643,4/3/2022 10:00,1836,741.5852,43,33.04,37.12,1.03,650.4972
644,4/3/2022 11:00,2084,864.25205,44.25,34.06,33.79,1.46,821.7222
645,4/3/2022 12:00,2140,895.620825,46,35.07,30.46,1.91,943.0176
646,4/3/2022 13:00,1972,831.07855,46.5,36.09,27.13,2.36,965.361
647,4/3/2022 14:00,1792,738.946875,46,36.23,26.16,2.32,919.9461
648,4/3/2022 15:00,1316,535.91575,45,36.38,25.2,2.29,810.5616
649,4/3/2022 16:00,732,308.1926,45,36.52,24.23,2.27,615.0234
650,4/3/2022 17:00,212,100.3704,44.25,35.27,26.33,2.13,394.8528
651,5/3/2022 7:00,336,131.2697725,36.25,26.84,56.04,1.38,19.4488
652,5/3/2022 8:00,900,350.78655,38.75,29.04,51.01,1.34,195.7306
653,5/3/2022 9:00,1444,566.90415,41.25,31.24,45.97,1.35,444.7464
654,5/3/2022 10:00,1840,741.91705,44,33.43,40.94,1.39,647.6709
655,5/3/2022 11:00,1952,787.537725,45.5,34.65,36.9,0.65,815.0799
656,5/3/2022 12:00,2112,902.20055,46.25,35.87,32.86,0.1,932.3139
657,5/3/2022 13:00,1600,667.28265,47,37.09,28.83,0.84,931.9188
658,5/3/2022 14:00,1636,672.0737,46.75,37.12,27.89,1.11,866.5497
659,5/3/2022 15:00,976,401.2873375,46.25,37.15,26.96,1.4,744.4716
660,5/3/2022 16:00,208,79.5064325,45.5,37.18,26.02,1.71,507.5826
661,5/3/2022 17:00,116,46.8508475,43,35.56,31.23,1.62,284.9799
662,6/3/2022 7:00,388,146.6142475,36.5,26.93,67.06,0.75,14.4556
663,6/3/2022 8:00,836,322.136975,38.75,28.6,60.79,0.53,147.3274
664,6/3/2022 9:00,1360,535.0174,40.75,30.26,54.53,1.1,341.4267
665,6/3/2022 10:00,1792,727.778425,43.25,31.92,48.27,1.84,545.322
666,6/3/2022 11:00,2032,845.459925,45,33.27,43.79,1.8,743.4096
667,6/3/2022 12:00,1964,842.425025,46.25,34.62,39.32,1.76,911.9736
668,6/3/2022 13:00,984,378.7805,46,35.97,34.84,1.72,848.0601
669,6/3/2022 14:00,1404,552.44185,45.25,35.86,34.08,1.17,726.0393
670,6/3/2022 15:00,1340,543.733675,45.75,35.75,33.33,0.63,566.7666
671,6/3/2022 16:00,352,141.9445525,45.5,35.65,32.58,0.09,458.4078
672,6/3/2022 17:00,96,37.3091025,43.75,33.73,39.48,1.56,315.1008
673,7/3/2022 7:00,266,98.6384575,35.25,26.44,74.02,1.72,19.0808
674,7/3/2022 8:00,733.6,274.315,36.75,28.48,65.08,0.72,184.6857
