Datetime,P,I,T,I_NCEP,T_NCEP,H_NCEP,W_NCEP
1/1/2022 7:00,39.2,30,99.1552725,0.0002,17.15,95.72,0.68
1/1/2022 8:00,98.1,31,214.0045425,80.7866,19.32,87.05,0.04
1/1/2022 9:00,245,33.25,525.061475,284.2681,21.48,78.38,0.61
1/1/2022 10:00,240.7,34.75,522.17305,460.6602,23.64,69.71,1.26
1/1/2022 11:00,323.8,36.75,732.773675,607.9815,24.87,63.93,1.44
1/1/2022 12:00,217.9,38.75,446.8697,712.8882,26.1,58.14,1.62
1/1/2022 13:00,191.3,38.25,357.893425,733.602,27.33,52.35,1.79
1/1/2022 14:00,275.8,38.75,597.754575,696.0216,27.29,51.38,1.82
1/1/2022 15:00,196.7,39,443.449425,603.8415,27.25,50.4,1.85
1/1/2022 16:00,87.2,39,206.223,429.5007,27.21,49.42,1.9
1/1/2022 17:00,20.2,38.75,55.96815025,244.4033,25.21,57.01,1.18
2/1/2022 7:00,31.2,30.5,78.2654175,0,16.21,94.41,0.69
2/1/2022 8:00,135.4,31.75,305.95105,66.1795,18.63,83.84,0.19
2/1/2022 9:00,231,32.5,508.745575,290.1923,21.05,73.26,0.37
2/1/2022 10:00,296.3,35.75,659.65505,476.2896,23.46,62.68,0.88
2/1/2022 11:00,339.7,38.25,755.995525,636.228,24.52,58.57,1.21
2/1/2022 12:00,356.4,40.25,809.762625,754.443,25.58,54.46,1.54
2/1/2022 13:00,344,41,787.23625,766.4088,26.64,50.36,1.87
2/1/2022 14:00,271.8,40.25,633.119275,717.5685,26.49,50.09,2.01
2/1/2022 15:00,178.2,39.5,398.64215,614.1111,26.35,49.83,2.19
2/1/2022 16:00,99.7,38.75,237.578275,436.4985,26.2,49.56,2.38
2/1/2022 17:00,16.7,38.75,50.33041075,248.262,24.59,56.67,1.66
3/1/2022 7:00,30.5,28.75,81.7920525,0,15.57,88.68,0.82
3/1/2022 8:00,133.4,29.5,291.189875,65.1616,17.96,79.27,0.07
3/1/2022 9:00,232,31.5,503.6561,291.447,20.35,69.87,0.71
3/1/2022 10:00,299,33,661.201525,479.0394,22.74,60.46,1.47
3/1/2022 11:00,337,36.75,759.350375,639.6045,24.01,55.74,1.48
3/1/2022 12:00,346,39.25,786.31165,757.7763,25.27,51.02,1.53
3/1/2022 13:00,329,40,743.4927,782.4357,26.54,46.29,1.62
3/1/2022 14:00,279,39.75,625.9514,744.987,26.48,46.15,1.79
3/1/2022 15:00,203,39.5,453.284775,648.9165,26.41,46,1.96
3/1/2022 16:00,101,39,239.8366,474.6132,26.35,45.85,2.14
3/1/2022 17:00,17,38.25,52.4660555,279.8818,24.26,53.36,1.13
4/1/2022 7:00,30.9,28.5,88.7880925,0,15.82,86.18,1.04
